Model,Saved_As,Epochs,RMSE,MAE,R2,MAPE
DenseNN_v2,crop_prediction.h5,50,48973.96795739758,28400.29057821178,0.6693468429333875,54.648217583041614
DenseNN_v2,crop_prediction.h5,50,52379.22588007298,30193.156129809686,0.6217662840537264,51.64002330036778
